sample_id,6122_A5,6129_SE1,6168_B4,6122_P1_SE,6129_A5,6186_B4
SLC25A3,87,11304,716,5163,8,170
SNX16,87,259,0,95,3,29
TMEM176B,87,4879,259,1862,26,68
DNMT3A,86,599,116,273,22,63
DSP,86,14371,1504,7379,117,267
DSTN,86,6121,6869,2674,343,1789
GCNT3,86,9238,1215,6015,46,524
GMPS,86,1140,3,369,0,13
MYO1B,86,2272,0,916,10,24
SLC40A1,86,6911,12104,2205,288,894
MACF1,85,2434,2,1858,10,259
RP11-627H22.6,85,0,0,0,1,0
SEC62,85,3403,126,1249,23,319
TMOD3,85,3161,1258,1590,30,153
ABCB1,84,5185,284,3767,3,187
AP3S1,84,828,4035,350,317,607
BRK1,84,1815,2356,671,76,225
GCH1,84,774,1788,415,14,433
POLE3,84,1103,0,340,3,8
RPS15A,84,581,382,220,29,251
ARL6IP1,83,4212,3218,1549,101,576
GLTP,83,1661,2558,754,210,743
MTMR3,83,1593,6,859,34,49
PRKAG2,83,916,379,461,11,216
RPL41P2,83,3,473,0,11,55
SAR1B,83,1792,990,862,27,10
BIRC6,82,4127,2,2001,13,144
C1orf56,82,47,0,17,0,0
LYSMD2,82,121,1,47,0,1
MIR22HG,82,924,4361,971,11,69
PCSK5,82,1588,61,876,2,7
PPAP2C,82,1217,4,615,1,5
STAG3L4,82,40,0,40,5,2
TMEM45B,82,6652,294,3582,31,234
LINC00520,81,3,0,8,5,26
OAS1,81,2750,378,1532,112,988
OSGIN1,81,222,0,227,2,27
RP11-708H21.4,81,69,62,58,7,15
RXRA,81,2555,388,1163,47,271
TSPAN3,81,19259,5116,8474,285,2002
B3GNT3,80,3684,198,2561,5,34
C2orf88,80,4105,18,2224,49,155
FBXL17,80,936,245,393,10,31
STAT3,80,3678,219,1953,11,12
DDX46,79,1799,1,719,0,2
RAB11A,79,5946,366,2589,55,380
RSL24D1,79,873,1594,297,69,510
TIPRL,79,1507,20,655,36,13
TXNDC17,79,1060,8,441,6,45
CNIH1,78,2436,40,869,13,94
PTGR1,78,832,2,274,7,168
TRMT1L,78,643,1,231,8,9
YBX1,78,3534,498,1230,9,60
ZCCHC3,78,440,6,200,0,0
ZNF384,78,600,3,299,7,36
AC007246.3,77,124,0,74,8,1
ATP1B1,77,11883,3311,5181,237,2950
DLL4,77,365,3,193,0,2
MTURN,77,421,1518,230,4,19
NDUFA3,77,506,3,207,20,191
PPP1R15B,77,2207,205,1210,31,356
RAP2C,77,877,1795,522,45,114
UBXN6,77,1328,54,728,3,4
USP33,77,1673,4673,891,24,23
VAPA,77,4026,16702,1748,299,2531
EIF4G2,76,25200,1776,11654,53,488
NPLOC4,76,1632,98,1182,8,55
ZMIZ1,76,2304,0,1567,48,50
BAG1,75,2650,611,1310,13,82
CNBP,75,5177,160,2044,22,85
FBXO32,75,1016,184,1195,94,125
GLYR1,75,3462,105,1433,24,84
MTND4P14,75,0,0,1,0,0
RP11-773D16.1,75,135,0,88,0,78
Y_RNA,75,108,88,116,4,13
CHMP5,74,2351,2128,1158,252,760
MDM1,74,200,0,65,0,43
MYH9,74,29374,23193,13518,334,2944
PANK2,74,405,25,263,7,12
RP11-475J5.8,74,3,38,24,4,195
RPS7,74,927,302,361,6,94
SAMD13,74,412,85,137,96,170
SMIM7,74,561,878,299,13,109
EFHD2,73,3997,2396,2068,185,905
UBXN4,73,4167,1222,2078,0,22
CTD-2031P19.4,72,0,334,0,9,34
HECTD4,72,1364,0,914,1,0
HNRNPF,72,6602,1997,2619,25,504
KIF27,72,61,0,15,0,0
RAB6A,72,2668,7731,1302,64,649
RP11-147L13.12,72,25,0,12,0,0
SCP2,72,7884,1638,3098,36,162
THRB,72,1671,13,632,3,186
ZFYVE27,72,1206,3,870,0,1
BNIP3L,71,1033,286,550,24,75
CHMP4C,71,442,23,329,2,13
CIRBP,71,2991,12473,1980,88,73
DNAJA2,71,2001,142,906,6,172
HIPK3,71,2430,2170,1006,34,178
OAT,71,2347,54,817,15,22
RP11-235D19.2,71,1,0,0,0,1
FAM120AOS,70,1459,5621,739,234,521
METAP1,70,1774,202,803,2,21
RP11-315A17.1,70,0,0,0,0,0
STIM2,70,596,0,324,8,15
TNKS2,70,1529,1517,900,47,46
CHMP1B,69,1784,791,1014,89,756
EGLN3,69,2528,4820,1048,23,458
EIF4E3,69,1570,702,648,34,325
PLEK,69,41,2,28,63,320
PLOD2,69,5004,775,1732,92,1074
SLC44A1,69,11631,4654,4715,49,203
SULT1B1,69,10429,785,4417,20,34
WTAP,69,1177,5294,594,92,1899
ANXA1,68,167,35,98,62,55
CTD-3105H18.8,68,0,1,0,0,8
HBS1L,68,910,0,312,9,5
RP11-120I21.3,68,0,0,0,0,0
UBE2I,68,881,485,505,23,140
ADIPOR1,67,2114,4811,867,157,345
CCNT1,67,1169,58,575,0,1780
GSK3A,67,917,303,475,8,57
MTND5P1,67,2,0,1,0,0
PPP4C,67,1250,49,723,3,4
RNF41,67,654,98,302,12,53
RPL14,67,2648,322,973,67,191
UBE2Q1,67,1656,392,696,15,9
B3GNT5,66,1341,1301,1262,43,618
DDX3Y,66,1095,6159,485,2,0
EFNA4,66,313,0,121,1,0
ITSN2,66,1393,0,862,1,3
PRR15,66,2689,321,2384,255,1045
RP11-475J5.5,66,12,28,18,8,73
RP11-475J5.6,66,38,120,27,32,262
SPCS1,66,1562,1606,643,196,435
VAMP8,66,2492,1917,1303,178,734
LARP7,65,978,75,462,0,0
LEMD3,64,1189,0,471,4,69
MED23,64,1715,1,761,18,1
NAP1L1,64,1864,1551,477,12,5
PRAC1,64,582,2,352,11,30
SHROOM1,64,985,262,1119,1,6
SLC16A9,64,840,449,1831,48,74
SLC25A33,64,105,5,58,11,13
SNX3,64,2028,647,793,45,523
WASF2,64,3140,66,1850,10,21
AC007163.9,63,0,0,0,0,0
C6orf136,63,956,11,582,0,146
CAMTA1,63,465,1608,212,16,171
CYB5B,63,3725,7589,1533,208,2623
RASSF6,63,2253,6,1519,15,62
RPSA,63,3384,37,769,13,86
SSFA2,63,7155,1117,6045,151,3057
CBL,62,497,86,422,0,6
CREBZF,62,1560,308,1053,7,279
FAM91A1,62,1414,27,671,18,48
LRRC1,62,2519,2471,1370,71,261
RP11-37O16.8,62,0,103,6,20,143
SPECC1L,62,1015,42,534,3,20
BACH1,61,1226,8037,621,17,323
BCL6,61,115,268,75,7,334
DERA,61,1340,1425,653,16,86
MXD4,61,1170,16,617,70,88
PPIAP13,61,0,0,0,0,1
PTTG1IP,61,8766,961,4086,30,319
RAD21,61,4469,42,1974,63,173
RPS6KA5,61,481,9,242,3,36
SAT1,61,5051,1348,3156,208,785
ADIPOR2,60,3812,2973,2089,177,699
CPSF7,60,1814,75,1065,4,26
MAPRE2,60,1063,1411,401,14,63
OLR1,60,3,2111,0,8,1
PRSS23,60,2317,4074,1325,258,1630
TM2D2,60,518,123,193,32,141
TMEM203,60,595,6,225,0,27
GPANK1,59,232,0,123,2,60
KRT17,59,1,2613,1,37,0
MRGBP,59,245,0,88,5,3
NXPE4,59,5780,836,3411,2,6
PIM1,59,392,9,548,16,19
PTGES3,59,4687,4072,1572,103,948
RCOR1,59,1313,0,754,1,7
SBDS,59,2528,47,1320,22,76
TTPAL,59,440,513,200,0,0
MT1G,58,2482,1627,835,64,748
PHACTR2,58,1032,171,506,11,4
ATF3,57,198,4,282,17,209
ATP5J,57,1753,4,743,15,98
EDN1,57,666,412,290,7,117
SON,57,6607,45,3456,12,272
TMEM248,57,4596,1291,1891,83,391
ZYG11B,57,1021,220,619,8,10
C11orf54,56,1681,288,962,4,39
CTD-2228K2.5,56,412,1763,588,26,130
KDM3B,56,2861,19,1121,7,37
MAPKAPK5,56,994,2,399,14,13
SDHD,56,2451,186,847,9,68
TRA2A,56,1538,6761,901,278,1131
ENTPD5,55,12227,254,4770,6,9
GSPT1,55,4754,1958,1782,18,65
PTPRE,55,684,5774,393,22,0
SDE2,55,694,753,232,3,20
TMEM171,55,1103,27,571,3,22
BPNT1,54,1823,99,752,14,277
C1GALT1C1,54,1002,165,379,12,0
FAU,54,2061,1705,762,48,116
KIF5B,54,8594,1901,3606,21,73
PERP,54,5568,4284,2915,163,587
RP11-209E8.1,54,19,26,44,5,32
SKP1,54,2175,17102,849,204,849
TM9SF3,54,16320,889,5853,245,653
UBP1,54,3112,4155,1279,26,381
HES1,53,1251,612,513,13,397
NUTM2A-AS1,53,138,3,79,2,0
